행정동_코드,지역명,2023,2024,2025,3년_증감,총_상주인구_수,총_직장_인구_수,총_유동인구_수,10인_이상_가구_수,1인_가구_수,2인_가구_수,3인_가구_수,4인_가구_수,5인_가구_수,6인_가구_수,7인_가구_수,8인_가구_수,9인_가구_수,총_가구_수,1인_가구_비중,직장인구_상주인구_비,유동인구_상주인구_비,학원_매출,학원_매출_비중,상권특성,경쟁수준,활동인구,활동인구_대비_편의점
11170580,용산구 효창동,2,2,2,0,10665,1419.0,3740869,1.0,1780.0,1215.0,910.0,585.0,152.0,40.0,8.0,2.0,3.0,4696.0,0.379045996592845,0.13305203938115331,350.7612751992499,1015616098.0,0.06765436764723985,유동 중심형,중간,12084.0,0.165508109897385
11170590,용산구 용문동,2,2,2,0,11380,3079.0,2377218,2.0,2207.0,1390.0,949.0,573.0,135.0,28.0,4.0,4.0,0.0,5292.0,0.4170445956160242,0.27056239015817224,208.8943760984183,38053035.0,0.001244696460359683,주거형,중간,14459.0,0.13832215229268968
11170625,용산구 한강로동,19,14,14,-5,20977,58448.0,5774895,0.0,6056.0,2310.0,1618.0,969.0,193.0,52.0,18.0,10.0,0.0,11226.0,0.5394619632994834,2.7862897459121894,275.29651523096726,1880158.0,2.7613929290561905e-06,1인가구형,고밀·경쟁 완화,79425.0,0.17626691847655018
11170630,용산구 이촌1동,6,4,4,-2,24933,5907.0,4374672,2.0,1747.0,2286.0,2523.0,1987.0,414.0,115.0,25.0,10.0,5.0,9114.0,0.19168312486284836,0.23691493201780772,175.45710504151126,2135672521.0,0.06131352096355897,주거형,중간,30840.0,0.1297016861219196
11170640,용산구 이촌2동,2,2,1,-1,7870,2035.0,1458631,0.0,1323.0,1029.0,692.0,398.0,94.0,25.0,6.0,1.0,2.0,3570.0,0.37058823529411766,0.25857687420584496,185.34066073697585,24846747.0,0.0076388026219292565,주거형,저밀·상대적 여유,9905.0,0.10095911155981828
11170650,용산구 이태원1동,6,6,7,1,6015,18302.0,2476459,0.0,1897.0,806.0,372.0,214.0,61.0,14.0,4.0,0.0,0.0,3368.0,0.5632422802850356,3.0427265170407316,411.71388196176224,0.0,0.0,1인가구형,중간,24317.0,0.28786445696426366
11170660,용산구 이태원2동,4,4,4,0,8657,875.0,3024770,1.0,2589.0,1087.0,570.0,304.0,93.0,19.0,8.0,2.0,0.0,4673.0,0.5540338112561524,0.10107427515305534,349.40164029109394,0.0,0.0,1인가구형,중간,9532.0,0.419639110365086
11170685,용산구 한남동,5,4,4,-1,17711,45554.0,4379717,1.0,3411.0,1649.0,1025.0,637.0,187.0,43.0,16.0,4.0,4.0,6977.0,0.48889207395728823,2.572073852408108,247.28795663711819,2135219045.0,0.02279059587608724,오피스형,중간,63265.0,0.06322611238441475
11170690,용산구 서빙고동,9,9,9,0,12443,10106.0,1728945,0.0,1676.0,1219.0,932.0,833.0,265.0,51.0,14.0,7.0,2.0,4999.0,0.33526705341068214,0.8121835570200112,138.94920839025957,238181152.0,0.03633794131737988,오피스형,중간,22549.0,0.3991307818528538
11170700,용산구 보광동,1,1,1,0,11134,254.0,2142286,0.0,2117.0,866.0,490.0,246.0,55.0,14.0,2.0,1.0,0.0,3791.0,0.5584278554471116,0.022813005209268905,192.4093766840309,444576315.0,0.04803600112395839,1인가구형,중간,11388.0,0.08781173164734808
11200520,성동구 왕십리2동,2,1,1,-1,15974,1287.0,4634683,1.0,2939.0,1827.0,1383.0,906.0,182.0,58.0,13.0,1.0,1.0,7311.0,0.401996990835727,0.0805684236884938,290.1391636409165,616291563.0,0.04490068124000657,주거형,저밀·상대적 여유,17261.0,0.05793407102717108
11200535,성동구 왕십리도선동,10,9,10,0,26181,3005.0,5511049,0.0,5091.0,2727.0,2227.0,1517.0,311.0,82.0,19.0,6.0,2.0,11982.0,0.4248873309964947,0.11477789236469195,210.49803292464,124269021.0,0.0025757887732146046,주거형,중간,29186.0,0.34263002809566234
11200540,성동구 마장동,3,3,4,1,21556,6924.0,4952140,4.0,5506.0,2518.0,1543.0,1106.0,248.0,69.0,15.0,3.0,2.0,11014.0,0.4999092064644997,0.3212098719614029,229.73371683058082,256439435.0,0.00882341278334742,오피스형,중간,28480.0,0.1404494382022472
11200550,성동구 사근동,12,12,13,1,11936,438.0,4595770,0.0,6279.0,975.0,520.0,392.0,87.0,19.0,4.0,2.0,0.0,8278.0,0.758516549891278,0.03669571045576407,385.03434986595175,44302195.0,0.0012086218220914917,1인가구형,고밀·경쟁 지속,12374.0,1.0505899466623565
11200560,성동구 행당1동,9,7,8,-1,13629,1709.0,6771746,0.0,3015.0,1725.0,1352.0,932.0,181.0,31.0,12.0,3.0,1.0,7252.0,0.4157473800330943,0.12539437963166777,496.86301269352117,3006500664.0,0.07037882359683188,유동 중심형,고밀·경쟁 완화,15338.0,0.5215803885773894
11200570,성동구 행당2동,2,1,1,-1,22851,3.0,4292517,0.0,2393.0,2612.0,2196.0,1552.0,296.0,62.0,15.0,3.0,2.0,9131.0,0.2620742525462709,0.0001312852829197847,187.8481029276618,927687707.0,0.15902104658790156,학원·교육형,저밀·상대적 여유,22854.0,0.04375601645226219
11200580,성동구 응봉동,1,1,1,0,14940,542.0,2747744,0.0,1607.0,1522.0,1416.0,1072.0,200.0,32.0,3.0,3.0,1.0,5856.0,0.2744193989071038,0.036278447121820614,183.91860776439088,783179956.0,0.3065403826942051,학원·교육형,중간,15482.0,0.06459113809585325
11200590,성동구 금호1가동,2,2,2,0,14750,1732.0,3089717,0.0,2204.0,1720.0,1380.0,844.0,163.0,37.0,9.0,1.0,1.0,6359.0,0.3465953766315458,0.11742372881355932,209.47233898305086,1170521702.0,0.19556539393144975,학원·교육형,중간,16482.0,0.12134449702705982
11200615,성동구 금호2.3가동,4,8,9,5,21946,244.0,5454810,0.0,3373.0,2576.0,1960.0,1164.0,219.0,48.0,14.0,3.0,0.0,9357.0,0.3604787859356631,0.011118199216258088,248.55600109359335,627892474.0,0.03751341090866198,주거형,고밀·경쟁 지속,22190.0,0.40558810274898605
11200620,성동구 금호4가동,3,3,3,0,14142,507.0,2565751,0.0,2279.0,1729.0,1361.0,775.0,130.0,39.0,7.0,2.0,0.0,6322.0,0.3604871875988611,0.03585065761561307,181.42773299391882,162172761.0,0.009888186019944787,주거형,중간,14649.0,0.2047921359819783
11200645,성동구 옥수동,3,4,4,1,25399,3197.0,2805400,1.0,3092.0,3133.0,2557.0,1490.0,297.0,72.0,15.0,4.0,3.0,10664.0,0.28994748687171795,0.1258710972872948,110.45316744753731,2809651362.0,0.27208415249714557,학원·교육형,중간,28596.0,0.13987970345502868
11200650,성동구 성수1가1동,2,1,2,0,15394,3325.0,2972249,0.0,3187.0,1840.0,1272.0,794.0,140.0,44.0,5.0,6.0,0.0,7288.0,0.43729418221734356,0.21599324412108614,193.07840717162532,478777315.0,0.026518464969753217,주거형,중간,18719.0,0.10684331427960896
11200660,성동구 성수1가2동,8,5,6,-2,11932,8657.0,5517614,0.0,3014.0,1683.0,1124.0,712.0,128.0,34.0,9.0,4.0,1.0,6709.0,0.44924727977343865,0.7255279919544083,462.42155548105933,1409483357.0,0.015701684577576182,오피스형,중간,20589.0,0.29141774734081305
11200670,성동구 성수2가1동,3,3,4,1,14544,7660.0,4875184,0.0,3738.0,1748.0,1001.0,653.0,117.0,32.0,6.0,3.0,0.0,7298.0,0.5121951219512195,0.5266776677667767,335.2024202420242,129653030.0,0.0014921440560422044,오피스형,중간,22204.0,0.18014772113132768
11200690,성동구 성수2가3동,8,8,8,0,10021,31123.0,6050654,0.0,2621.0,1066.0,656.0,490.0,113.0,33.0,8.0,1.0,0.0,4988.0,0.5254611066559743,3.1057778664803912,603.7974254066461,680166340.0,0.005754249134712604,오피스형,중간,41144.0,0.19443904335990667
11200720,성동구 송정동,1,1,1,0,9719,748.0,3275272,0.0,2890.0,1100.0,623.0,410.0,78.0,15.0,3.0,2.0,0.0,5121.0,0.5643429017769966,0.07696265047844428,336.9968103714374,0.0,0.0,1인가구형,중간,10467.0,0.09553835865099838
11200790,성동구 용답동,5,6,6,1,11809,2556.0,2756340,0.0,5406.0,1577.0,715.0,427.0,90.0,22.0,4.0,1.0,1.0,8243.0,0.6558291884022808,0.2164450842577695,233.41011093233973,147459702.0,0.00395183878084606,1인가구형,중간,14365.0,0.41768186564566656
11215710,광진구 화양동,23,23,22,-1,24821,872.0,8980586,1.0,14975.0,1890.0,656.0,379.0,69.0,21.0,5.0,0.0,0.0,17996.0,0.8321293620804623,0.03513154183957133,361.8140284436566,719173967.0,0.008491467333414148,1인가구형,고밀·경쟁 완화,25693.0,0.8562643521581754
11215730,광진구 군자동,9,9,9,0,19048,1002.0,6843014,0.0,7022.0,2084.0,1179.0,666.0,136.0,39.0,16.0,3.0,2.0,11147.0,0.6299452767560779,0.05260394792104158,359.2510499790004,588819457.0,0.012572090318382481,1인가구형,중간,20050.0,0.4488778054862843
11215740,광진구 중곡1동,3,4,4,1,15218,3866.0,3450358,0.0,4991.0,1961.0,978.0,531.0,136.0,24.0,10.0,0.0,0.0,8631.0,0.578264395782644,0.25404126692075174,226.72874227888028,566452764.0,0.009192891011866424,1인가구형,중간,19084.0,0.2095996646405366
11215750,광진구 중곡2동,10,6,5,-5,20512,2251.0,4707238,1.0,5337.0,2503.0,1498.0,893.0,199.0,41.0,7.0,3.0,2.0,10484.0,0.5090614269362839,0.10974063962558503,229.48703198127924,2132725602.0,0.0523706514893158,주거형,중간,22763.0,0.2196547028071871
11215760,광진구 중곡3동,3,1,1,-2,15681,515.0,4252517,0.0,4527.0,2035.0,1054.0,621.0,149.0,21.0,6.0,1.0,0.0,8414.0,0.5380318516757785,0.032842293221095595,271.18914610037626,281071372.0,0.016180405822237832,1인가구형,저밀·상대적 여유,16196.0,0.061743640405038276
11215770,광진구 중곡4동,4,4,4,0,27499,2743.0,6389649,1.0,5563.0,3436.0,2236.0,1362.0,297.0,77.0,23.0,4.0,2.0,13001.0,0.42789016229520804,0.09974908178479218,232.35932215716934,519699904.0,0.014623463759243198,주거형,중간,30242.0,0.13226638449837974
11215780,광진구 능동,5,5,5,0,11053,1414.0,2012058,0.0,3949.0,1337.0,630.0,400.0,87.0,38.0,5.0,0.0,0.0,6446.0,0.6126279863481229,0.1279290690310323,182.03727494797792,372428047.0,0.016128295333007397,1인가구형,중간,12467.0,0.40105879521937915
11215810,광진구 광장동,3,3,4,1,33964,8850.0,6141905,0.0,2316.0,2163.0,3317.0,3217.0,524.0,99.0,31.0,9.0,0.0,11676.0,0.19835560123329907,0.2605700153103286,180.83573784006595,3770825860.0,0.09208987662752721,학원·교육형,중간,42814.0,0.09342738356612322
11215820,광진구 자양1동,3,3,3,0,21795,11952.0,7523250,0.0,6809.0,2649.0,1422.0,954.0,195.0,38.0,12.0,3.0,1.0,12083.0,0.5635189936274104,0.5483826565726084,345.1823812801101,730096463.0,0.016235030575418655,1인가구형,중간,33747.0,0.08889679082585118
11215830,광진구 자양2동,10,11,10,0,23591,2506.0,5100964,0.0,4878.0,3043.0,2302.0,1571.0,326.0,71.0,19.0,5.0,2.0,12217.0,0.39927969223213555,0.106226950955873,216.22500105972617,1124446979.0,0.06077884865822815,주거형,중간,26097.0,0.38318580679771624
11215840,광진구 자양3동,6,4,4,-2,27193,1753.0,6560805,3.0,3249.0,2739.0,2509.0,1939.0,353.0,92.0,27.0,13.0,2.0,10926.0,0.29736408566721584,0.06446511969992277,241.26815724635017,4801839580.0,0.11567705014365201,학원·교육형,중간,28946.0,0.13818835072203411
11215847,광진구 자양4동,6,6,7,1,19815,513.0,8810461,0.0,6460.0,2445.0,1405.0,789.0,158.0,34.0,10.0,4.0,2.0,11307.0,0.5713274962412664,0.025889477668433004,444.6359323744638,159602091.0,0.0036627782984292815,1인가구형,중간,20328.0,0.34435261707988984
11215850,광진구 구의1동,6,6,7,1,21448,3506.0,6680759,1.0,7911.0,2639.0,1525.0,910.0,216.0,44.0,10.0,1.0,2.0,13259.0,0.5966513311712799,0.16346512495337562,311.4863390525923,487083655.0,0.007936025093788688,1인가구형,중간,24954.0,0.28051614971547645
11215860,광진구 구의2동,5,6,6,1,25468,2960.0,4877442,4.0,4604.0,2877.0,2096.0,1486.0,336.0,67.0,16.0,4.0,0.0,11490.0,0.4006962576153177,0.11622428145123292,191.51256478718392,1664941886.0,0.05292006581872824,주거형,중간,28428.0,0.21105951878429716
11215870,광진구 구의3동,8,11,13,5,27836,11355.0,6128436,2.0,4435.0,2781.0,2491.0,1869.0,365.0,83.0,21.0,6.0,3.0,12056.0,0.36786662242866625,0.40792498922258946,220.16223595344158,12758653058.0,0.10872625350391074,학원·교육형,고밀·경쟁 지속,39191.0,0.33170881069633334
