행정동_코드,지역명,2023,2024,2025,3년_증감
11620595,관악구 청룡동,7,6,6,-1
11620605,관악구 은천동,4,4,4,0
11620615,관악구 중앙동,5,5,6,1
11620625,관악구 인헌동,8,5,6,-2
11620630,관악구 남현동,5,5,5,0
11620645,관악구 서원동,5,7,6,1
11620655,관악구 신원동,2,2,2,0
11620665,관악구 서림동,7,8,7,0
11620685,관악구 신사동,6,5,5,-1
11620695,관악구 신림동,6,6,4,-2
11620715,관악구 난향동,0,2,0,0
11620725,관악구 조원동,3,3,4,1
11620735,관악구 대학동,10,8,7,-3
11620745,관악구 삼성동,0,0,0,0
11620765,관악구 미성동,3,3,5,2
11620775,관악구 난곡동,7,9,5,-2
11650510,서초구 서초1동,6,6,6,0
11650520,서초구 서초2동,9,8,9,0
11650530,서초구 서초3동,19,22,21,2
11650531,서초구 서초4동,13,12,12,-1
11650540,서초구 잠원동,5,7,6,1
11650550,서초구 반포본동,2,2,2,0
11650560,서초구 반포1동,3,3,3,0
11650570,서초구 반포2동,3,3,3,0
11650580,서초구 반포3동,2,2,2,0
11650581,서초구 반포4동,10,8,7,-3
11650590,서초구 방배본동,6,5,4,-2
11650600,서초구 방배1동,5,4,4,-1
11650610,서초구 방배2동,8,9,9,1
11650620,서초구 방배3동,5,5,5,0
11650621,서초구 방배4동,6,6,4,-2
11650651,서초구 양재1동,15,8,10,-5
11650652,서초구 양재2동,15,13,10,-5
11650660,서초구 내곡동,5,5,4,-1
11680510,강남구 신사동,9,8,10,1
11680521,강남구 논현1동,23,22,17,-6
11680531,강남구 논현2동,18,16,13,-5
11680545,강남구 압구정동,9,7,7,-2
11680565,강남구 청담동,16,16,13,-3
11680580,강남구 삼성1동,19,18,16,-3
11680590,강남구 삼성2동,16,15,15,-1
11680600,강남구 대치1동,8,6,4,-4
11680610,강남구 대치2동,15,15,15,0
11680630,강남구 대치4동,25,22,22,-3
11680640,강남구 역삼1동,51,44,43,-8
11680650,강남구 역삼2동,18,16,13,-5
11680655,강남구 도곡1동,9,7,7,-2
11680656,강남구 도곡2동,9,9,8,-1
11680660,강남구 개포1동,0,0,0,0
11680670,강남구 개포2동,7,7,6,-1
11680690,강남구 개포4동,6,6,5,-1
11680700,강남구 세곡동,6,8,7,1
11680720,강남구 일원본동,4,5,5,1
11680730,강남구 일원1동,2,1,1,-1
11680740,강남구 일원2동,1,1,1,0
11680750,강남구 수서동,7,6,6,-1
11710510,송파구 풍납1동,3,3,1,-2
11710520,송파구 풍납2동,5,7,7,2
11710531,송파구 거여1동,3,2,1,-2
11710532,송파구 거여2동,3,2,2,-1
11710540,송파구 마천1동,7,7,6,-1
11710550,송파구 마천2동,5,5,5,0
11710561,송파구 방이1동,8,6,5,-3
11710562,송파구 방이2동,13,15,14,1
11710566,송파구 오륜동,5,4,5,0
11710570,송파구 오금동,8,9,8,0
11710580,송파구 송파1동,9,13,12,3
11710590,송파구 송파2동,7,9,8,1
11710600,송파구 석촌동,11,10,10,-1
11710610,송파구 삼전동,14,11,9,-5
11710620,송파구 가락본동,13,12,12,-1
11710631,송파구 가락1동,1,1,1,0
11710632,송파구 가락2동,4,4,4,0
11710641,송파구 문정1동,4,4,4,0
11710642,송파구 문정2동,20,22,24,4
11710646,송파구 장지동,6,5,5,-1
11710647,송파구 위례동,5,5,6,1
11710650,송파구 잠실본동,20,15,15,-5
11710670,송파구 잠실2동,2,2,3,1
11710680,송파구 잠실3동,10,9,9,-1
11710690,송파구 잠실4동,1,1,1,0
11710710,송파구 잠실6동,10,8,9,-1
11710720,송파구 잠실7동,0,0,0,0
11740515,강동구 강일동,12,13,14,2
11740520,강동구 상일동,5,4,4,-1
11740530,강동구 명일1동,4,4,4,0
11740540,강동구 명일2동,4,5,5,1
11740550,강동구 고덕1동,3,2,1,-2
11740560,강동구 고덕2동,6,5,5,-1
11740570,강동구 암사1동,10,8,4,-6
